iter	RMSE
0	14.85897191
1	14.36056069
2	13.86965617
3	13.41887359
4	12.96615304
5	12.52811235
6	12.11242624
7	11.7132317
8	11.32814066
9	10.97698865
10	10.61235022
11	10.25889281
12	9.934115067
13	9.604188537
14	9.294276155
15	8.992427342
16	8.702140157
17	8.415637705
18	8.146853552
19	7.886454907
20	7.627944075
21	7.384212447
22	7.151556719
23	6.926207528
24	6.706152485
25	6.495408442
26	6.293441951
27	6.10525332
28	5.913396156
29	5.728840544
30	5.553532979
31	5.385812711
32	5.22875608
33	5.07190688
34	4.922680298
35	4.778104749
36	4.640837422
37	4.505024186
38	4.373459722
39	4.248698242
40	4.127685294
41	4.008603933
42	3.897091268
43	3.788689987
44	3.683568996
45	3.589416054
46	3.492224581
47	3.400404133
48	3.308464128
49	3.223791071
50	3.141492132
51	3.060817165
52	2.983242828
53	2.910469021
54	2.84417772
55	2.774646772
56	2.708366651
57	2.645943311
58	2.586226298
59	2.527757938
60	2.470516904
61	2.416520555
62	2.365895409
63	2.317771212
64	2.271318799
65	2.225479127
66	2.181986043
67	2.137990062
68	2.099866893
69	2.06050725
70	2.024138601
71	1.989783303
72	1.956342588
73	1.924845128
74	1.892951995
75	1.862419119
76	1.833746119
77	1.806555528
78	1.782232538
79	1.756203888
80	1.732179978
81	1.707692912
82	1.685213202
83	1.663529432
84	1.641323414
85	1.624680903
86	1.605757844
87	1.58702045
88	1.570105767
89	1.552283474
90	1.535049511
91	1.518247405
92	1.503280796
93	1.488909537
94	1.476045822
95	1.461597283
96	1.448599552
97	1.436229473
98	1.424396343
99	1.411615798
100	1.400058013
101	1.389088757
102	1.378419484
103	1.368812079
104	1.35931643
105	1.350041772
106	1.34226697
107	1.334768732
108	1.32638189
109	1.318074479
110	1.314477119
111	1.307018377
112	1.301336761
113	1.293200145
114	1.28798907
115	1.285174532
116	1.282736099
117	1.279409559
118	1.273090659
119	1.266853293
120	1.260966965
121	1.258281198
122	1.254094466
123	1.251776772
124	1.2495018
125	1.244044589
126	1.239792586
127	1.234509656
128	1.229479224
129	1.227499727
130	1.223772531
131	1.221233007
132	1.219166651
133	1.217280099
134	1.215558417
135	1.212744892
136	1.210844427
137	1.206416622
138	1.203144726
139	1.201325419
140	1.198050105
141	1.195017736
142	1.192927892
143	1.190903119
144	1.187736753
145	1.185065054
146	1.181665709
147	1.178212306
148	1.174693363
149	1.173141701
150	1.170681532
151	1.168737725
152	1.167440263
153	1.164710231
154	1.162648303
155	1.160481438
156	1.159348962
157	1.157144115
158	1.155157466
159	1.153137916
160	1.152202508
161	1.148882725
162	1.147832534
163	1.146664489
164	1.145182646
165	1.142525766
166	1.140363743
167	1.139000775
168	1.138019246
169	1.137026623
170	1.136053263
171	1.135288934
172	1.134287326
173	1.133321995
174	1.12965685
175	1.128330758
176	1.127452734
177	1.126616823
178	1.125544527
179	1.124501587
180	1.123552156
181	1.122445841
182	1.11956766
183	1.118792934
184	1.113541745
185	1.112596014
186	1.111628096
187	1.110717899
188	1.1098325
189	1.109183054
190	1.108584189
191	1.107790906
192	1.10700741
193	1.106174012
194	1.105280227
195	1.10463414
196	1.102039332
197	1.101376477
198	1.100584102
199	1.099540196
200	1.099008645
201	1.098273708
202	1.09761187
203	1.097142602
204	1.096389952
205	1.095889727
206	1.095099941
207	1.094513758
208	1.093894165
209	1.093318064
210	1.092696562
211	1.092162294
212	1.091739196
213	1.091170457
214	1.086164952
215	1.083281443
216	1.08276319
217	1.082344031
218	1.081791917
219	1.079798732
220	1.079295798
221	1.078885025
222	1.078380306
223	1.077913058
224	1.077456912
225	1.076922219
226	1.076513103
227	1.076030885
228	1.071475067
229	1.071008826
230	1.070718282
231	1.067282177
232	1.06687124
233	1.066511241
234	1.062297397
235	1.059284563
236	1.058919686
237	1.054239293
238	1.053885122
239	1.053469414
240	1.051272846
241	1.049018337
242	1.043642764
243	1.041038153
244	1.040723619
245	1.040375063
246	1.040080262
247	1.036525021
248	1.033878518
249	1.031880332
250	1.031468389
251	1.027322671
252	1.027065549
253	1.026770681
254	1.024449576
255	1.024168367
256	1.023818022
257	1.020598117
258	1.018722765
259	1.013908656
260	1.012099416
261	1.011862674
262	1.008138306
263	1.007881799
264	1.003592867
265	1.00140079
266	0.9972422009
267	0.9930912246
268	0.9917495088
269	0.9890762789
270	0.9871190791
271	0.9865638877
272	0.9837040891
273	0.983497313
274	0.9791008248
275	0.9766100352
276	0.9725616182
277	0.9709445246
278	0.968574871
279	0.9683657902
280	0.9676438252
281	0.9664307498
282	0.9627219451
283	0.9617596145
284	0.95951624
285	0.9586398872
286	0.9584857341
287	0.9553616043
288	0.9533164463
289	0.951292183
290	0.9475789808
291	0.945781374
292	0.9456477638
293	0.9423993558
294	0.9407527753
295	0.9368965298
296	0.9322700678
297	0.9321160394
298	0.931994658
299	0.9317836431
300	0.9296659401
301	0.9275743885
302	0.9237538469
303	0.9209302243
304	0.9200450854
305	0.9193239307
306	0.9157317794
307	0.913927018
308	0.9103219224
309	0.9081524003
310	0.9063470606
311	0.9051343498
312	0.901052275
313	0.8970652641
314	0.894716205
315	0.8928485821
316	0.8903167975
317	0.8878011494
318	0.8866409566
319	0.8865195759
320	0.8812985847
321	0.8776555018
322	0.8739884898
323	0.8738787701
324	0.8722527142
325	0.8701661475
326	0.8664216318
327	0.8646620925
328	0.8619810503
329	0.861844449
330	0.8607223138
331	0.8559607294
332	0.8545415773
333	0.8507429991
334	0.8475207679
335	0.8458170538
336	0.8440128186
337	0.8422738289
338	0.8416099209
339	0.8385959662
340	0.8340729146
341	0.833159464
342	0.8319843715
343	0.8280537863
344	0.825148863
345	0.8230078469
346	0.8182655655
347	0.8141085625
348	0.8104226491
349	0.8090670624
350	0.8060048924
351	0.8025900511
352	0.8005383631
353	0.7972441705
354	0.79319027
355	0.7899745485
356	0.7898777998
357	0.7865579023
358	0.7841215803
359	0.7828084186
360	0.7796074023
361	0.7765064359
362	0.7745126253
363	0.7713750368
364	0.7706662218
365	0.7684780412
366	0.7673431777
367	0.7644058446
368	0.7634016384
369	0.7616615844
370	0.7603533487
371	0.7594931777
372	0.7558901533
373	0.7531131565
374	0.753010171
375	0.7520804732
376	0.750412192
377	0.7490045686
378	0.7472142432
379	0.7438464407
380	0.7416162567
381	0.7384287554
382	0.735588011
383	0.7345033119
384	0.7327262812
385	0.7303103581
386	0.7271834461
387	0.7265026323
388	0.7228751892
389	0.7185365114
390	0.7167134986
391	0.7158083378
392	0.7152915712
393	0.7145965433
394	0.7118977702
395	0.7094112308
396	0.7078814273
397	0.7062327718
398	0.7033569056
399	0.7016708575
400	0.7005850033
401	0.6997014079
402	0.6967485344
403	0.6950475876
404	0.6931371845
405	0.692020512
406	0.6915474392
407	0.6895474354
408	0.6866617777
409	0.6857609717
410	0.682289182
411	0.6793695129
412	0.6762470452
413	0.6730943792
414	0.6691016907
415	0.6674422105
416	0.6665185754
417	0.6625414843
418	0.6596572943
419	0.6575132624
420	0.6547361662
421	0.6510017572
422	0.6485969651
423	0.6473347082
424	0.6446810287
425	0.6424267353
426	0.6402685305
427	0.6401299406
428	0.6395499902
429	0.6387926917
430	0.6370835493
431	0.6363267659
432	0.6362132833
433	0.6350893353
434	0.6331459584
435	0.6327276364
436	0.6312898118
437	0.6311874309
438	0.6301879458
439	0.6271901827
440	0.626515152
441	0.6248667183
442	0.622108709
443	0.6201026128
444	0.6162229374
445	0.6136377678
446	0.6130881175
447	0.6122162624
448	0.6093331903
449	0.6087713911
450	0.6064804416
451	0.605908428
452	0.6052274392
453	0.6037750432
454	0.6009080409
455	0.6005691348
456	0.5989465469
457	0.5970154317
458	0.5968350876
459	0.5965165666
460	0.5964601348
461	0.5959765263
462	0.5951361964
463	0.5934466232
464	0.5933464221
465	0.5928580594
466	0.5913508896
467	0.5884690958
468	0.5876403969
469	0.5840557878
470	0.5827466597
471	0.5806832105
472	0.5806298047
473	0.5801330203
474	0.5800096568
475	0.5788287581
476	0.5783719697
477	0.5754115891
478	0.5729885546
479	0.572587171
480	0.5719517773
481	0.5704619793
482	0.5695749474
483	0.5679958142
484	0.5675281139
485	0.564575249
486	0.5623675863
487	0.5613503546
488	0.5610908538
489	0.5591903695
490	0.5566716289
491	0.5545761842
492	0.5532954441
493	0.5523834784
494	0.5521882563
495	0.5495848946
496	0.5478039893
497	0.5465575309
498	0.545174147
499	0.5424842089
500	0.5406220337
501	0.5381500323
502	0.5372844006
503	0.5371833162
504	0.5358379598
505	0.5344530848
506	0.5314277251
507	0.5310140015
508	0.5291201348
509	0.5290113044
510	0.5289474865
511	0.5279768306
512	0.5272480213
513	0.5249517224
514	0.5241518538
515	0.5235806217
516	0.5235191364
517	0.5218895165
518	0.5217137318
519	0.5216397899
520	0.5200894453
521	0.5182406517
522	0.5181826212
523	0.5171639722
524	0.5168386369
525	0.5160423853
526	0.5156680845
527	0.5127512557
528	0.5126746424
529	0.5112604558
530	0.5110552055
531	0.5100126974
532	0.50992085
533	0.5075914059
534	0.5075317883
535	0.5066401243
536	0.5050529238
537	0.5029933812
538	0.5010471938
539	0.5007221216
540	0.5006689048
541	0.4980083327
542	0.4977277405
543	0.4970088886
544	0.4957633818
545	0.49499852
546	0.4932712366
547	0.492617868
548	0.4906495456
549	0.4881840261
550	0.4869401914
551	0.4846867199
552	0.4826281428
553	0.4819967652
554	0.479840777
555	0.4783667324
556	0.4779797394
557	0.4770207585
558	0.4768226196
559	0.475800319
560	0.4736307408
561	0.4731122121
562	0.4730612132
563	0.4730108467
564	0.4714332832
565	0.471218554
566	0.4696558347
567	0.4693226547
568	0.467758611
569	0.4659986724
570	0.463609914
571	0.4633527801
572	0.4614644786
573	0.4595446379
574	0.4573881053
575	0.4559888426
576	0.4540390335
577	0.4534876165
578	0.4527023871
579	0.4513476985
580	0.4499185171
581	0.4495971429
582	0.4495574765
583	0.4486001763
584	0.4479612138
585	0.4477212838
586	0.4463663109
587	0.4452238692
588	0.4434058309
589	0.4424784633
590	0.4410350754
591	0.4408835028
592	0.4404790692
593	0.4390897386
594	0.4378235941
595	0.4374774941
596	0.4372715225
597	0.4363660074
598	0.4362133886
599	0.4342744369
600	0.4341427765
601	0.4335202483
602	0.4325640563
603	0.4324184399
604	0.430962802
605	0.4308165276
606	0.4300806463
607	0.4283416929
608	0.4278041783
609	0.4268839658
610	0.4249569021
611	0.4247773574
612	0.4242054837
613	0.4228780155
614	0.4210836643
615	0.4204888581
616	0.4186711366
617	0.4182470505
618	0.4164180938
619	0.4163760522
620	0.4162392851
621	0.4159906449
622	0.4143175607
623	0.4127363474
624	0.4118627728
625	0.4105247943
626	0.40977947
627	0.4088714343
628	0.4086949304
629	0.4075827325
630	0.4074016889
631	0.40573958
632	0.4046291013
633	0.4035306178
634	0.402974677
635	0.401525919
636	0.4012295871
637	0.4002204412
638	0.3983367434
639	0.3977853417
640	0.3976589466
641	0.3974133896
642	0.3963251797
643	0.3959784632
644	0.3958650911
645	0.3952361555
646	0.3937161366
647	0.3928281808
648	0.3916642482
649	0.391514418
650	0.3900973824
651	0.3893758863
652	0.3888045305
653	0.3887368458
654	0.3886705727
655	0.3872432012
656	0.3870980272
657	0.3870507389
658	0.3856657926
659	0.3846328462
660	0.3834293589
661	0.3820066475
662	0.380665594
663	0.3794913643
664	0.3793477898
665	0.3781693538
666	0.3774216416
667	0.3773496737
668	0.3771610292
669	0.3765650839
670	0.3756571165
671	0.3747672657
672	0.3741391475
673	0.3732487222
674	0.3730669887
675	0.371813505
676	0.3706829264
677	0.3701678008
678	0.3690733045
679	0.3680358571
680	0.3672682415
681	0.3656759881
682	0.36544289
683	0.3650274626
684	0.3636752918
685	0.3624042956
686	0.3622873986
687	0.3610181657
688	0.360547697
689	0.3597702351
690	0.3593247097
691	0.3592191154
692	0.3590572865
693	0.3586971031
694	0.3586343342
695	0.3577205153
696	0.3574625256
697	0.3563114847
698	0.3549232794
699	0.3542429568
700	0.3541938815
701	0.3530553972
702	0.3518157127
703	0.3507346844
704	0.3500731579
705	0.3492985089
706	0.3489945988
707	0.3479882537
708	0.347299341
709	0.3472385182
710	0.3471849647
711	0.3470491429
712	0.3466633634
713	0.3462103269
714	0.3458211486
715	0.3457723306
716	0.3449555466
717	0.3444811375
718	0.3444310241
719	0.3432110326
720	0.3420508222
721	0.3413952348
722	0.3413467709
723	0.3407200709
724	0.3404148719
725	0.3402773151
726	0.3399898061
727	0.339120467
728	0.3379104367
729	0.3369665031
730	0.3362403078
731	0.3354358072
732	0.3346584565
733	0.3340825097
734	0.3339439299
735	0.3327885216
736	0.332352666
737	0.3312946428
738	0.3312497259
739	0.3304947639
740	0.3293988482
741	0.3284809884
742	0.3270194175
743	0.3262953745
744	0.3261137825
745	0.3252163588
746	0.3251632305
747	0.3242225217
748	0.3233995531
749	0.3231962202
750	0.3229124986
751	0.3223287678
752	0.3220355052
753	0.3218893057
754	0.3218466746
755	0.321711629
756	0.321664934
757	0.3216173624
758	0.3209248262
759	0.320763751
760	0.3200061434
761	0.319461194
762	0.319421451
763	0.3189268216
764	0.3188749252
765	0.318391772
766	0.3175871218
767	0.3166276988
768	0.3161423702
769	0.3152836367
770	0.3148393056
771	0.314080736
772	0.3139111256
773	0.3138744402
774	0.3126235532
775	0.3119165328
776	0.3112481035
777	0.3106186546
778	0.3100190132
779	0.3091625483
780	0.3086615697
781	0.3076419585
782	0.3069539707
783	0.3066415201
784	0.3062428
785	0.3062028059
786	0.305259005
787	0.305084988
788	0.3047595979
789	0.3045159219
790	0.304447586
791	0.3036445668
792	0.3029895573
793	0.3028981677
794	0.3028539124
795	0.302322375
796	0.3016229601
797	0.3006811662
798	0.2995919838
799	0.2993744457
800	0.2991106615
801	0.2984688917
802	0.2983520274
803	0.2976019883
804	0.2969715846
805	0.2968454365
806	0.2965545313
