iter	Passed	Remaining
0	114	114575
1	117	58395
2	120	40149
3	123	30760
4	127	25363
5	129	21517
6	132	18769
7	135	16802
8	138	15229
9	140	13940
10	143	12864
11	145	11954
12	147	11203
13	150	10616
14	154	10114
15	156	9641
16	159	9211
17	161	8830
18	164	8504
19	169	8288
20	171	7998
21	174	7751
22	176	7513
23	179	7297
24	183	7160
25	186	6973
26	189	6834
27	192	6674
28	194	6525
29	197	6398
30	200	6254
31	202	6124
32	204	5999
33	207	5886
34	209	5778
35	213	5713
36	215	5616
37	218	5520
38	220	5424
39	222	5337
40	224	5254
41	226	5171
42	229	5099
43	232	5045
44	234	4985
45	239	4971
46	246	4993
47	248	4936
48	251	4890
49	254	4839
50	256	4780
51	261	4762
52	263	4713
53	266	4660
54	268	4610
55	270	4559
56	272	4507
57	276	4496
58	279	4451
59	281	4402
60	283	4358
61	285	4314
62	287	4271
63	289	4233
64	294	4229
65	296	4194
66	298	4159
67	300	4120
68	301	4073
69	303	4037
70	307	4018
71	309	3989
72	311	3955
73	313	3925
74	316	3898
75	318	3872
76	320	3846
77	324	3834
78	326	3810
79	330	3806
80	335	3809
81	340	3812
82	343	3793
83	345	3772
84	348	3752
85	351	3731
86	353	3713
87	356	3694
88	358	3673
89	361	3652
90	363	3630
91	365	3611
92	368	3591
93	371	3576
94	373	3556
95	375	3536
96	377	3517
97	380	3506
98	383	3490
99	386	3477
100	390	3477
101	393	3463
102	395	3448
103	398	3436
104	403	3436
105	405	3421
106	408	3406
107	410	3390
108	413	3379
109	416	3367
110	423	3388
111	426	3383
112	431	3390
113	435	3386
114	438	3372
115	440	3356
116	441	3329
117	443	3313
118	445	3298
119	448	3286
120	451	3279
121	453	3264
122	455	3250
123	456	3226
124	457	3204
125	459	3189
126	461	3174
127	464	3161
128	466	3151
129	467	3131
130	470	3118
131	472	3104
132	474	3090
133	474	3068
134	475	3046
135	477	3033
136	480	3029
137	483	3021
138	485	3009
139	487	2996
140	489	2983
141	491	2970
142	493	2959
143	496	2953
144	499	2944
145	501	2936
146	504	2927
147	506	2916
148	509	2908
149	513	2910
150	515	2899
151	517	2886
152	518	2867
153	519	2856
154	521	2844
155	523	2832
156	524	2814
157	526	2805
158	529	2800
159	531	2788
160	531	2770
161	533	2759
162	534	2745
163	536	2736
164	538	2725
165	540	2714
166	542	2707
167	545	2700
168	547	2690
169	549	2681
170	551	2671
171	551	2655
172	553	2645
173	555	2637
174	558	2634
175	562	2634
176	564	2626
177	566	2616
178	568	2606
179	570	2597
180	572	2588
181	574	2584
182	577	2576
183	579	2569
184	581	2562
185	584	2557
186	587	2554
187	592	2559
188	594	2552
189	595	2540
190	596	2527
191	598	2519
192	601	2513
193	603	2507
194	605	2500
195	608	2494
196	610	2487
197	611	2476
198	613	2469
199	615	2463
200	618	2457
201	621	2455
202	624	2453
203	625	2441
204	628	2436
205	629	2424
206	631	2418
207	633	2410
208	636	2407
209	639	2405
210	641	2400
211	644	2394
212	645	2386
213	647	2379
214	650	2374
215	654	2375
216	657	2371
217	660	2367
218	662	2363
219	665	2358
220	669	2359
221	672	2355
222	674	2350
223	677	2346
224	679	2340
225	682	2335
226	687	2340
227	692	2343
228	694	2339
229	700	2343
230	700	2333
231	704	2331
232	708	2330
233	711	2330
234	715	2327
235	719	2328
236	722	2325
237	724	2320
238	729	2321
239	733	2323
240	736	2320
241	739	2315
242	743	2314
243	747	2315
244	752	2318
245	755	2314
246	757	2310
247	760	2306
248	764	2304
249	766	2300
250	769	2295
251	771	2289
252	773	2283
253	775	2277
254	777	2272
255	779	2266
256	782	2261
257	784	2255
258	786	2250
259	788	2245
260	791	2239
261	792	2232
262	794	2227
263	797	2222
264	799	2216
265	801	2211
266	803	2206
267	805	2200
268	808	2197
269	813	2198
270	815	2194
271	818	2189
272	820	2185
273	823	2181
274	826	2179
275	829	2174
276	831	2171
277	834	2166
278	836	2161
279	838	2156
280	841	2153
281	843	2148
282	845	2143
283	848	2138
284	850	2134
285	853	2130
286	855	2125
287	857	2120
288	860	2115
289	862	2111
290	864	2106
291	866	2102
292	869	2097
293	871	2092
294	873	2087
295	875	2082
296	877	2077
297	879	2071
298	881	2066
299	883	2061
300	885	2056
301	887	2051
302	889	2046
303	891	2041
304	893	2036
305	895	2031
306	897	2026
307	899	2020
308	901	2016
309	903	2011
310	905	2006
311	907	2001
312	909	1996
313	911	1991
314	913	1986
315	915	1981
316	917	1976
317	919	1971
318	921	1966
319	923	1961
320	925	1957
321	927	1952
322	929	1947
323	931	1943
324	933	1939
325	936	1935
326	938	1931
327	940	1926
328	942	1922
329	944	1918
330	946	1913
331	949	1909
332	951	1905
333	953	1901
334	956	1898
335	958	1894
336	960	1890
337	963	1886
338	965	1882
339	968	1879
340	970	1875
341	972	1871
342	975	1867
343	977	1863
344	979	1860
345	982	1856
346	984	1852
347	986	1848
348	989	1845
349	991	1841
350	993	1837
351	996	1833
352	998	1830
353	1001	1826
354	1003	1822
355	1006	1820
356	1008	1816
357	1010	1812
358	1013	1809
359	1015	1806
360	1018	1802
361	1020	1798
362	1022	1794
363	1024	1790
364	1027	1787
365	1029	1783
366	1031	1779
367	1033	1775
368	1035	1771
369	1038	1767
370	1040	1763
371	1042	1760
372	1045	1756
373	1047	1752
374	1049	1749
375	1052	1746
376	1055	1743
377	1057	1740
378	1059	1735
379	1061	1732
380	1063	1728
381	1065	1723
382	1067	1719
383	1069	1715
384	1071	1711
385	1073	1707
386	1075	1703
387	1077	1699
388	1079	1695
389	1081	1691
390	1083	1687
391	1085	1683
392	1086	1678
393	1089	1674
394	1091	1671
395	1093	1667
396	1095	1663
397	1097	1660
398	1099	1656
399	1101	1652
400	1103	1648
401	1105	1644
402	1107	1641
403	1110	1638
404	1112	1634
405	1114	1630
406	1118	1629
407	1121	1626
408	1123	1623
409	1127	1623
410	1131	1620
411	1133	1617
412	1135	1614
413	1138	1610
414	1140	1608
415	1144	1606
416	1147	1603
417	1149	1600
418	1151	1597
419	1154	1594
420	1157	1591
421	1159	1588
422	1162	1585
423	1164	1582
424	1170	1583
425	1174	1582
426	1177	1580
427	1182	1580
428	1185	1577
429	1188	1576
430	1192	1574
431	1194	1571
432	1197	1567
433	1199	1564
434	1201	1560
435	1204	1557
436	1206	1554
437	1208	1550
438	1211	1547
439	1213	1543
440	1215	1540
441	1217	1536
442	1220	1534
443	1223	1531
444	1225	1528
445	1227	1524
446	1229	1520
447	1231	1517
448	1233	1513
449	1235	1510
450	1238	1507
451	1241	1504
452	1243	1501
453	1246	1498
454	1248	1495
455	1252	1494
456	1256	1492
457	1259	1490
458	1263	1489
459	1267	1487
460	1271	1486
461	1274	1484
462	1278	1483
463	1281	1480
464	1284	1477
465	1286	1474
466	1288	1471
467	1291	1467
468	1294	1465
469	1296	1462
470	1299	1459
471	1302	1456
472	1304	1453
473	1306	1449
474	1308	1446
475	1311	1443
476	1314	1441
477	1317	1438
478	1319	1434
479	1321	1431
480	1324	1429
481	1327	1426
482	1329	1423
483	1332	1420
484	1334	1416
485	1336	1413
486	1338	1410
487	1341	1407
488	1343	1404
489	1346	1401
490	1348	1398
491	1351	1395
492	1353	1391
493	1355	1388
494	1358	1385
495	1361	1383
496	1363	1380
497	1366	1377
498	1370	1375
499	1373	1373
500	1376	1370
501	1378	1367
502	1381	1365
503	1384	1363
504	1388	1360
505	1392	1359
506	1396	1357
507	1398	1354
508	1400	1351
509	1402	1347
510	1404	1343
511	1405	1339
512	1409	1338
513	1411	1334
514	1413	1331
515	1415	1328
516	1418	1324
517	1420	1321
518	1421	1317
519	1424	1314
520	1427	1312
521	1429	1309
522	1431	1305
523	1433	1301
524	1434	1298
525	1436	1294
526	1438	1291
527	1441	1288
528	1443	1285
529	1445	1281
530	1447	1278
531	1449	1274
532	1450	1271
533	1452	1267
534	1455	1265
535	1459	1263
536	1462	1260
537	1464	1257
538	1465	1253
539	1467	1250
540	1469	1246
541	1472	1244
542	1474	1241
543	1477	1238
544	1479	1235
545	1481	1231
546	1483	1228
547	1485	1225
548	1488	1222
549	1490	1219
550	1492	1216
551	1494	1212
552	1495	1209
553	1497	1205
554	1499	1202
555	1502	1199
556	1504	1196
557	1507	1193
558	1509	1190
559	1511	1187
560	1513	1184
561	1515	1180
562	1517	1178
563	1519	1174
564	1521	1171
565	1523	1168
566	1524	1164
567	1526	1161
568	1528	1157
569	1530	1154
570	1532	1151
571	1535	1148
572	1537	1145
573	1538	1142
574	1540	1138
575	1542	1135
576	1544	1131
577	1545	1128
578	1547	1125
579	1550	1122
580	1552	1119
581	1554	1116
582	1556	1113
583	1558	1109
584	1559	1106
585	1561	1103
586	1563	1099
587	1566	1097
588	1568	1094
589	1570	1091
590	1571	1087
591	1573	1084
592	1575	1081
593	1577	1078
594	1579	1074
595	1582	1072
596	1584	1069
597	1586	1066
598	1588	1063
599	1590	1060
600	1592	1057
601	1594	1054
602	1597	1051
603	1599	1048
604	1601	1045
605	1603	1042
606	1604	1039
607	1606	1035
608	1608	1032
609	1610	1029
610	1613	1027
611	1615	1024
612	1617	1021
613	1619	1017
614	1620	1014
615	1622	1011
616	1624	1008
617	1626	1005
618	1629	1002
619	1631	999
620	1632	996
621	1634	993
622	1636	990
623	1638	987
624	1640	984
625	1641	980
626	1645	979
627	1647	976
628	1649	972
629	1651	969
630	1653	966
631	1654	963
632	1656	960
633	1658	957
634	1662	955
635	1664	952
636	1666	949
637	1668	946
638	1670	943
639	1672	940
640	1673	937
641	1676	934
642	1678	931
643	1680	928
644	1681	925
645	1683	922
646	1685	919
647	1687	916
648	1689	913
649	1692	911
650	1694	908
651	1696	905
652	1698	902
653	1700	899
654	1702	896
655	1704	893
656	1707	891
657	1709	888
658	1712	885
659	1714	883
660	1716	880
661	1718	877
662	1721	874
663	1723	872
664	1726	869
665	1728	866
666	1730	863
667	1731	860
668	1734	857
669	1736	855
670	1738	852
671	1740	849
672	1742	846
673	1744	843
674	1746	840
675	1748	837
676	1750	835
677	1752	832
678	1755	829
679	1757	826
680	1759	824
681	1761	821
682	1763	818
683	1765	815
684	1767	812
685	1769	809
686	1771	807
687	1773	804
688	1775	801
689	1777	798
690	1779	795
691	1781	793
692	1783	790
693	1785	787
694	1787	784
695	1789	781
696	1791	778
697	1793	776
698	1795	773
699	1797	770
700	1799	767
701	1802	764
702	1804	762
703	1806	759
704	1808	756
705	1810	754
706	1813	751
707	1815	748
708	1817	745
709	1819	743
710	1820	740
711	1823	737
712	1825	734
713	1827	731
714	1829	729
715	1831	726
716	1833	723
717	1835	721
718	1837	718
719	1839	715
720	1842	712
721	1844	710
722	1846	707
723	1848	704
724	1850	701
725	1852	699
726	1854	696
727	1856	693
728	1858	690
729	1860	688
730	1862	685
731	1864	682
732	1866	679
733	1868	677
734	1870	674
735	1872	671
